Calculated Dose,Regular,APL,Regenboogen
20.0,"10.0,10.0","",""
20.0,"10.0,10.0","",""
20.0,"10.0,10.0","",""
20.0,"10.0,10.0","",""
20.0,"10.0,10.0","",""
20.0,"10.0,10.0","",""
20.0,"10.0,10.0","",""
19.0,"10.0","2.5,2.5,1.0,1.0,1.0,1.0",""
19.0,"10.0","2.5,2.5,1.0,1.0,1.0,1.0",""
19.0,"10.0","2.5,2.5,1.0,1.0,1.0,1.0",""
19.0,"10.0","2.5,2.5,1.0,1.0,1.0,1.0",""
19.0,"10.0","2.5,2.5,1.0,1.0,1.0,1.0",""
19.0,"10.0","2.5,2.5,1.0,1.0,1.0,1.0",""
19.0,"10.0","2.5,2.5,1.0,1.0,1.0,1.0",""
18.5,"10.0","2.5,2.5,2.5,1.0",""
18.5,"10.0","2.5,2.5,2.5,1.0",""
18.5,"10.0","2.5,2.5,2.5,1.0",""
18.5,"10.0","2.5,2.5,2.5,1.0",""
18.5,"10.0","2.5,2.5,2.5,1.0",""
18.5,"10.0","2.5,2.5,2.5,1.0",""
18.5,"10.0","2.5,2.5,2.5,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
18.0,"10.0","2.5,2.5,1.0,1.0,1.0",""
17.5,"10.0","2.5,1.0,1.0,1.0,1.0,1.0",""
17.5,"10.0","2.5,1.0,1.0,1.0,1.0,1.0",""
17.5,"10.0","2.5,1.0,1.0,1.0,1.0,1.0",""
17.5,"10.0","2.5,1.0,1.0,1.0,1.0,1.0",""
17.5,"10.0","2.5,1.0,1.0,1.0,1.0,1.0",""
17.5,"10.0","2.5,1.0,1.0,1.0,1.0,1.0",""
17.5,"10.0","2.5,1.0,1.0,1.0,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
17.0,"10.0","2.5,2.5,1.0,1.0",""
16.5,"10.0","2.5,1.0,1.0,1.0,1.0",""
16.5,"10.0","2.5,1.0,1.0,1.0,1.0",""
16.5,"10.0","2.5,1.0,1.0,1.0,1.0",""
16.5,"10.0","2.5,1.0,1.0,1.0,1.0",""
16.5,"10.0","2.5,1.0,1.0,1.0,1.0",""
16.5,"10.0","2.5,1.0,1.0,1.0,1.0",""
16.5,"10.0","2.5,1.0,1.0,1.0,1.0",""
16.0,"10.0","1.0,1.0,1.0,1.0,1.0,1.0",""
16.0,"10.0","1.0,1.0,1.0,1.0,1.0,1.0",""
16.0,"10.0","1.0,1.0,1.0,1.0,1.0,1.0",""
16.0,"10.0","1.0,1.0,1.0,1.0,1.0,1.0",""
16.0,"10.0","1.0,1.0,1.0,1.0,1.0,1.0",""
