Calculated Dose,Regular,APL,Regenboogen
285,"150.0","50.0,50.0,20.0,10.0,5.0",""
285,"150.0","50.0,50.0,20.0,10.0,5.0",""
285,"150.0","50.0,50.0,20.0,10.0,5.0",""
285,"150.0","50.0,50.0,20.0,10.0,5.0",""
285,"150.0","50.0,50.0,20.0,10.0,5.0",""
285,"150.0","50.0,50.0,20.0,10.0,5.0",""
285,"150.0","50.0,50.0,20.0,10.0,5.0",""
275,"150.0","50.0,50.0,20.0,5.0",""
275,"150.0","50.0,50.0,20.0,5.0",""
275,"150.0","50.0,50.0,20.0,5.0",""
275,"150.0","50.0,50.0,20.0,5.0",""
275,"150.0","50.0,50.0,20.0,5.0",""
275,"150.0","50.0,50.0,20.0,5.0",""
275,"150.0","50.0,50.0,20.0,5.0",""
265,"150.0","50.0,50.0,10.0,5.0",""
265,"150.0","50.0,50.0,10.0,5.0",""
265,"150.0","50.0,50.0,10.0,5.0",""
265,"150.0","50.0,50.0,10.0,5.0",""
265,"150.0","50.0,50.0,10.0,5.0",""
265,"150.0","50.0,50.0,10.0,5.0",""
265,"150.0","50.0,50.0,10.0,5.0",""
255,"150.0","50.0,50.0,5.0",""
255,"150.0","50.0,50.0,5.0",""
255,"150.0","50.0,50.0,5.0",""
255,"150.0","50.0,50.0,5.0",""
255,"150.0","50.0,50.0,5.0",""
255,"150.0","50.0,50.0,5.0",""
255,"150.0","50.0,50.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
245,"150.0","50.0,20.0,20.0,5.0",""
235,"150.0","50.0,20.0,10.0,5.0",""
235,"150.0","50.0,20.0,10.0,5.0",""
235,"150.0","50.0,20.0,10.0,5.0",""
235,"150.0","50.0,20.0,10.0,5.0",""
235,"150.0","50.0,20.0,10.0,5.0",""
235,"150.0","50.0,20.0,10.0,5.0",""
235,"150.0","50.0,20.0,10.0,5.0",""
225,"150.0","50.0,20.0,5.0",""
225,"150.0","50.0,20.0,5.0",""
