Calculated Dose,Regular,APL,Regenboogen
29.6,"22.1","2.5,2.5,2.5",""
29.6,"22.1","2.5,2.5,2.5",""
29.6,"22.1","2.5,2.5,2.5",""
28.9,"8.8,8.8,8.8","2.5",""
28.9,"8.8,8.8,8.8","2.5",""
28.9,"8.8,8.8,8.8","2.5",""
28.9,"8.8,8.8,8.8","2.5",""
28.9,"8.8,8.8,8.8","2.5",""
28.9,"8.8,8.8,8.8","2.5",""
28.9,"8.8,8.8,8.8","2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
28.8,"8.8","10.0,2.5,2.5,2.5,2.5",""
27.6,"8.8,8.8","2.5,2.5,2.5,2.5",""
27.6,"8.8,8.8","2.5,2.5,2.5,2.5",""
27.6,"8.8,8.8","2.5,2.5,2.5,2.5",""
27.6,"8.8,8.8","2.5,2.5,2.5,2.5",""
27.6,"8.8,8.8","2.5,2.5,2.5,2.5",""
27.6,"8.8,8.8","2.5,2.5,2.5,2.5",""
27.6,"8.8,8.8","2.5,2.5,2.5,2.5",""
27.1,"22.1","2.5,2.5",""
27.1,"22.1","2.5,2.5",""
27.1,"22.1","2.5,2.5",""
27.1,"22.1","2.5,2.5",""
27.1,"22.1","2.5,2.5",""
27.1,"22.1","2.5,2.5",""
27.1,"22.1","2.5,2.5",""
26.3,"8.8","5.0,5.0,2.5,2.5,2.5",""
26.3,"8.8","5.0,5.0,2.5,2.5,2.5",""
26.3,"8.8","5.0,5.0,2.5,2.5,2.5",""
26.3,"8.8","5.0,5.0,2.5,2.5,2.5",""
26.3,"8.8","5.0,5.0,2.5,2.5,2.5",""
26.3,"8.8","5.0,5.0,2.5,2.5,2.5",""
26.3,"8.8","5.0,5.0,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
25.0,"","10.0,5.0,2.5,2.5,2.5,2.5",""
24.6,"22.1","2.5",""
24.6,"22.1","2.5",""
24.6,"22.1","2.5",""
24.6,"22.1","2.5",""
24.6,"22.1","2.5",""
24.6,"22.1","2.5",""
24.6,"22.1","2.5",""
23.8,"8.8","5.0,2.5,2.5,2.5,2.5",""
23.8,"8.8","5.0,2.5,2.5,2.5,2.5",""
23.8,"8.8","5.0,2.5,2.5,2.5,2.5",""
23.8,"8.8","5.0,2.5,2.5,2.5,2.5",""
23.8,"8.8","5.0,2.5,2.5,2.5,2.5",""
23.8,"8.8","5.0,2.5,2.5,2.5,2.5",""
23.8,"8.8","5.0,2.5,2.5,2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.6,"8.8,8.8","2.5,2.5",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
22.1,"22.1","",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
21.3,"8.8","2.5,2.5,2.5,2.5,2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.1,"8.8,8.8","2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
20.0,"","5.0,5.0,2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
18.8,"8.8","2.5,2.5,2.5,2.5",""
